edge_id,u,v,key,risk_score,crime_count,avg_severity,raw_risk
0_7488_0,0,7488,0,1.0,0,0.0,0.0
0_7472_0,0,7472,0,1.0,0,0.0,0.0
0_7471_0,0,7471,0,1.0,0,0.0,0.0
1_4_0,1,4,0,1.0,0,0.0,0.0
1_4_1,1,4,1,1.0,0,0.0,0.0
1_4_2,1,4,2,1.0,0,0.0,0.0
1_7822_0,1,7822,0,1.0,0,0.0,0.0
1_7822_1,1,7822,1,1.0,0,0.0,0.0
1_7822_2,1,7822,2,1.0,0,0.0,0.0
1_7159_0,1,7159,0,1.0,0,0.0,0.0
1_7159_1,1,7159,1,1.0,0,0.0,0.0
1_7159_2,1,7159,2,1.0,0,0.0,0.0
1_7159_3,1,7159,3,1.0,0,0.0,0.0
1_276_0,1,276,0,1.0,0,0.0,0.0
1_276_1,1,276,1,1.0,0,0.0,0.0
1_276_2,1,276,2,1.0,0,0.0,0.0
1_276_3,1,276,3,40.07822812593991,85,40.967320261437905,182.48267224128747
1_9887_0,1,9887,0,1.0,0,0.0,0.0
1_9887_1,1,9887,1,1.0,0,0.0,0.0
1_9888_0,1,9888,0,1.0,0,0.0,0.0
1_9888_1,1,9888,1,1.0,0,0.0,0.0
1_7628_0,1,7628,0,1.0,0,0.0,0.0
1_7628_1,1,7628,1,1.0,0,0.0,0.0
1_7628_2,1,7628,2,1.0,0,0.0,0.0
1_7338_0,1,7338,0,1.0,0,0.0,0.0
1_7338_1,1,7338,1,1.0,0,0.0,0.0
1_9780_0,1,9780,0,1.0,0,0.0,0.0
1_9781_0,1,9781,0,1.0,0,0.0,0.0
1_10679_0,1,10679,0,63.463946857544364,280,51.73253968253968,291.68640667554087
2_3_0,2,3,0,1.0,0,0.0,0.0
2_3_1,2,3,1,1.0,0,0.0,0.0
2_7128_0,2,7128,0,1.0,0,0.0,0.0
2_10036_0,2,10036,0,1.0,0,0.0,0.0
2_10036_1,2,10036,1,1.0,0,0.0,0.0
2_10036_2,2,10036,2,1.0,0,0.0,0.0
2_10094_0,2,10094,0,1.0,0,0.0,0.0
2_10094_1,2,10094,1,1.0,0,0.0,0.0
2_4_0,2,4,0,1.0,0,0.0,0.0
3_2_0,3,2,0,15.245834338489729,4,41.333333333333336,66.52343371394282
3_2_1,3,2,1,1.0,0,0.0,0.0
3_4_0,3,4,0,1.0,0,0.0,0.0
3_4_1,3,4,1,1.0,0,0.0,0.0
3_7126_0,3,7126,0,1.0,0,0.0,0.0
4_3_0,4,3,0,1.0,0,0.0,0.0
4_3_1,4,3,1,1.0,0,0.0,0.0
4_7093_0,4,7093,0,1.0,0,0.0,0.0
4_7093_1,4,7093,1,1.0,0,0.0,0.0
4_7093_2,4,7093,2,1.0,0,0.0,0.0
4_1_0,4,1,0,1.0,0,0.0,0.0
4_1_1,4,1,1,1.0,0,0.0,0.0
4_1_2,4,1,2,26.229683937608414,16,41.58333333333333,117.81445489033764
4_10035_0,4,10035,0,1.0,0,0.0,0.0
4_10035_1,4,10035,1,1.0,0,0.0,0.0
4_10035_2,4,10035,2,34.10603577588553,26,46.90598290598291,154.59446769770736
4_2_0,4,2,0,1.0,0,0.0,0.0
5_276_0,5,276,0,37.45227006532769,14,62.85714285714284,170.220298354996
5_276_1,5,276,1,1.0,0,0.0,0.0
5_276_2,5,276,2,1.0,0,0.0,0.0
5_276_3,5,276,3,1.0,0,0.0,0.0
5_276_4,5,276,4,1.0,0,0.0,0.0
