edge_id,u,v,key,risk_score_original,risk_score_buffered,risk_score_change
0_7488_0,0,7488,0,1.0,1.0,0.0
0_7472_0,0,7472,0,1.0,1.0,0.0
0_7471_0,0,7471,0,1.0,1.0,0.0
1_4_0,1,4,0,1.0,3.927808659523495,2.927808659523495
1_4_1,1,4,1,1.0,3.927808659523495,2.927808659523495
1_4_2,1,4,2,1.0,3.927808659523495,2.927808659523495
1_7822_0,1,7822,0,1.0,3.6710533480460317,2.6710533480460317
1_7822_1,1,7822,1,1.0,3.6710533480460317,2.6710533480460317
1_7822_2,1,7822,2,1.0,3.6710533480460317,2.6710533480460317
1_7159_0,1,7159,0,1.0,4.139604357203664,3.1396043572036643
1_7159_1,1,7159,1,1.0,4.139604357203664,3.1396043572036643
1_7159_2,1,7159,2,1.0,4.139604357203664,3.1396043572036643
1_7159_3,1,7159,3,1.0,4.139604357203664,3.1396043572036643
1_276_0,1,276,0,1.0,4.125209204429814,3.1252092044298143
1_276_1,1,276,1,1.0,4.125209204429815,3.125209204429815
1_276_2,1,276,2,1.0,4.125209204429814,3.1252092044298143
1_276_3,1,276,3,40.07822812593991,10.507565747297058,-29.57066237864285
1_9887_0,1,9887,0,1.0,4.149559331289702,3.1495593312897023
1_9887_1,1,9887,1,1.0,4.149559331289702,3.1495593312897023
1_9888_0,1,9888,0,1.0,4.366092895175061,3.3660928951750613
1_9888_1,1,9888,1,1.0,4.366092895175061,3.3660928951750613
1_7628_0,1,7628,0,1.0,4.183158468402713,3.1831584684027128
1_7628_1,1,7628,1,1.0,4.183158468402713,3.1831584684027128
1_7628_2,1,7628,2,1.0,4.183158468402713,3.1831584684027128
1_7338_0,1,7338,0,1.0,4.126295980548978,3.126295980548978
1_7338_1,1,7338,1,1.0,4.126295980548978,3.126295980548978
1_9780_0,1,9780,0,1.0,4.268861795920235,3.268861795920235
1_9781_0,1,9781,0,1.0,4.268861795920235,3.268861795920235
1_10679_0,1,10679,0,63.46394685754437,14.346514913784693,-49.11743194375968
2_3_0,2,3,0,1.0,1.7478315334155616,0.7478315334155616
2_3_1,2,3,1,1.0,1.7478315334155614,0.7478315334155614
2_7128_0,2,7128,0,1.0,2.080737982131975,1.080737982131975
2_10036_0,2,10036,0,1.0,1.4328405918021505,0.4328405918021505
2_10036_1,2,10036,1,1.0,1.4328405918021505,0.4328405918021505
2_10036_2,2,10036,2,1.0,1.4328405918021505,0.4328405918021505
2_10094_0,2,10094,0,1.0,1.5352570366993157,0.5352570366993157
2_10094_1,2,10094,1,1.0,1.535257036699316,0.5352570366993159
2_4_0,2,4,0,1.0,2.54350555267708,1.5435055526770798
3_2_0,3,2,0,15.245834338489727,3.9272174715655326,-11.318616866924195
3_2_1,3,2,1,1.0,1.7478315334155612,0.7478315334155612
3_4_0,3,4,0,1.0,2.970198014283823,1.970198014283823
3_4_1,3,4,1,1.0,2.970198014283823,1.970198014283823
3_7126_0,3,7126,0,1.0,1.9991038558767806,0.9991038558767806
4_3_0,4,3,0,1.0,2.970198014283823,1.970198014283823
4_3_1,4,3,1,1.0,2.970198014283823,1.970198014283823
4_7093_0,4,7093,0,1.0,3.1082135585392083,2.1082135585392083
4_7093_1,4,7093,1,1.0,3.1082135585392083,2.1082135585392083
4_7093_2,4,7093,2,1.0,3.1082135585392083,2.1082135585392083
4_1_0,4,1,0,1.0,3.9278086595234947,2.9278086595234947
4_1_1,4,1,1,1.0,3.9278086595234947,2.9278086595234947
4_1_2,4,1,2,26.229683937608417,8.038099404526003,-18.191584533082413
