trial_id,origin,destination,safest_distance,safest_risk,safest_nodes,shortest_distance,shortest_risk,shortest_nodes,balanced_distance,balanced_risk,balanced_nodes,distance_increase_safest,risk_reduction_safest,distance_increase_balanced,risk_reduction_balanced,safest_efficiency,shortest_efficiency,balanced_efficiency
0,5,382,5807.384833236044,476.2138588714518,23,3952.7145952398264,560.5344896745358,23,3987.77817959811,547.6797377119312,23,46.92143066007748,15.04289786914687,0.8870760464342647,2.293302588761039,12.194909335479204,7.0516884652983585,7.281222774934213
1,0,149,4855.6577652699925,362.9965082213691,17,3002.6844869499178,591.3736430903517,17,3448.490342300549,459.8054997014156,17,61.71055555032016,38.61807801841628,14.846909733212568,22.24788759630851,13.376596345408446,5.077474321071762,7.499889289144864
2,362,149,5196.811445601424,396.22148725648856,19,3128.689109540795,514.5398817593704,19,3305.2151599057715,434.35339856146834,19,66.10188048898766,22.99499002843371,5.642172941589766,15.584114281621812,13.11592534161919,6.0805570577791626,7.6095068459284265
3,147,47,1675.5131360163111,189.89233777170753,6,1675.5131360163111,189.89233777170753,6,1675.5131360163111,189.89233777170753,6,0.0,0.0,0.0,0.0,8.823489961088622,8.823489961088622,8.823489961088622
4,273,38,5071.144333484167,347.22843520414045,20,3058.365382946604,679.91473954666,18,3918.443178569187,404.16582308479474,18,65.81224603707543,48.930591586283526,28.122140030042285,40.556396327828345,14.604634354046409,4.49816014429368,9.695137378667196
5,329,98,7439.809224978767,471.8792546766343,26,3733.577953290586,725.3832243298663,22,4236.942643016081,542.7735471823046,22,99.26754759256325,34.94759199696513,13.482099370172657,25.174234945433525,15.766340968045016,5.147042043520916,7.806096419052261
6,40,164,2396.5863077856293,212.4576445902154,11,1924.872243311892,256.78392977999704,11,1924.872243311892,256.78392977999704,11,24.50625313512323,17.26209472211082,0.0,0.0,11.28030159803439,7.496077519185298,7.496077519185298
7,215,335,1691.7598659593477,130.5258306039012,7,1564.6864777694198,292.93243246559916,9,1691.7598659593477,130.5258306039012,7,8.121332292145889,55.441659530400536,8.121332292145889,55.441659530400536,12.961111667568916,5.34145865857025,12.961111667568916
8,327,66,4325.868236132343,363.5820454551888,17,2807.77146116485,494.3969445826999,15,2807.77146116485,494.3969445826999,15,54.06767594744644,26.45948777817116,0.0,0.0,11.897914900381137,5.679184493210762,5.679184493210762
9,285,219,4270.075604237831,419.51089265372656,21,3421.6474766310744,570.656271503169,23,3546.1320821944314,528.014285274402,21,24.795895351619087,26.486238108153888,3.638148184859872,7.472446787703478,10.178700193519038,5.9959868093941955,6.715977542826429
10,302,352,3581.688247186839,247.88380661004047,13,2478.6261770809224,612.8856664663952,17,2740.6847870183838,260.9304183373166,13,44.50296217741848,59.55464123688524,10.572736315005264,57.42592254739514,14.44906101842057,4.044190152743321,10.503508193802748
11,228,370,2893.6881245158547,200.1465246788707,10,1372.7289535955997,283.5290035337875,10,1372.7289535955997,283.5290035337875,10,110.79821452999843,29.408800445694194,0.0,0.0,14.457848464562119,4.841582118536296,4.841582118536296
12,179,30,5042.228538082957,311.4409826092836,17,2999.7245725415446,565.1155549189722,17,3260.206451013528,423.04328807545016,17,68.08971677726005,44.88897360931096,8.683526509611765,25.140392191804512,16.18999688428499,5.308161395365684,7.706555198748519
13,276,347,3528.0833340808167,284.08264554234404,16,2352.150081394945,322.6873614452463,14,2352.150081394945,322.6873614452463,14,49.9939719827947,11.96350415770862,0.0,0.0,12.419214582240071,7.289253817875537,7.289253817875537
14,388,304,1619.246439689877,155.01460959411074,9,1268.60201453736,210.92318296658243,9,1277.9090287131814,167.9355500832408,9,27.64022294891213,26.506604246214867,0.7336433388225052,20.38070556243804,10.445766653412226,6.014521479786082,7.609520605254569
15,383,35,9763.0128486189,607.506950977188,31,5593.415520648088,1138.5947389774446,33,6036.342570460969,802.809699246084,33,74.54474484469726,46.64414561384842,7.918722436726111,29.491181386708693,16.070619163969866,4.912560482820651,7.519020480357522
16,31,114,1810.8063925856056,157.19174788013953,8,1174.327920255924,232.65044705021333,8,1491.3123769937133,164.41571665664202,8,54.19938173580786,32.43436671917825,26.992840012584228,29.32929261848532,11.519729356062417,5.047606549419038,9.07037604019389
17,17,207,6046.188118026462,339.7560448743659,21,3657.4207494147545,739.4439647854082,21,4416.929804898748,389.60992228384924,21,65.31289485886873,54.052496057227884,20.766247788295274,47.31041960739827,17.795674894503218,4.9461770243485095,11.336800097408213
18,142,130,2880.584960251464,228.8736615486288,12,1805.7251480534846,357.28361778426927,10,1849.5415663117205,280.14171706378556,10,59.52510620769969,35.94062247577649,2.4265275535132593,21.591222457633812,12.585917229446805,5.054038467399857,6.602164025040932
19,360,254,4621.265954445345,405.7203224340407,21,3872.0166848301433,797.0869608608273,23,4364.645486812168,422.17448025942156,21,19.350362630166973,49.09961618292233,12.722796467072442,47.03532977085872,11.39027477529583,4.8577092274204245,10.338487262731139
20,254,132,3062.006004521252,222.57571740134816,11,2223.729401904188,290.4383515739133,9,2253.6799088292046,247.1716955904654,9,37.6968799305907,23.36558991084029,1.3468593300682177,14.897018850637917,13.757143143336917,7.656459244633448,9.11787210685842
21,294,248,1975.527113048236,173.2618353467168,9,1596.1122857358976,203.6032937858026,9,1596.1122857358976,203.6032937858026,9,23.77118644490647,14.90224341410018,0.0,0.0,11.401974988288563,7.839324482712251,7.839324482712251
22,100,154,4373.334254618863,372.30044367256846,19,3231.2370223726675,507.6811116337187,17,3310.626986797437,426.9134653924596,17,35.34551084734615,26.66647721548966,2.456952674009477,15.90912964662968,11.746787652139174,6.364698131026662,7.754796358447004
23,379,208,6126.843144497962,415.1950747521661,20,3343.4385852997893,687.1926114236929,20,3589.030638497181,570.0879727444863,20,83.24975883918022,39.58097513708934,7.345493178106952,17.041021211883354,14.756541002214764,4.865358750544498,6.295573332689456
24,183,48,3967.5455233124962,274.14340148544886,15,2494.823574968505,498.5396904438956,13,2936.9383140603086,305.8046332346562,13,59.03110597159493,45.010716951873206,17.72128272025748,38.65992234993962,14.472518768696638,5.004262695207146,9.603969315293787
25,255,87,5537.866698747253,373.342370752407,19,3369.403038542167,650.4336351285086,17,3685.7439537616947,414.192348470941,17,64.35750295824839,42.60100483908026,9.388633879679716,36.32058274644615,14.833212441402353,5.180241083129813,8.898628782902975
26,35,181,7787.998553870755,428.99929399742143,23,4316.221701548991,794.1814493274346,23,4733.226473159223,511.6242916823293,23,80.43555434318455,45.982206665652235,9.661338097173703,35.578413205747054,18.153872658628586,5.434805490866418,9.251371661019789
27,147,121,2724.331399848951,197.59667290579955,10,1392.2295339119746,319.9256743074431,8,1413.6652369871772,263.89065105640594,8,95.68119577193227,38.23669409041785,1.5396673144098005,17.515012939283032,13.787334370491775,4.351728059730729,5.357011441398164
28,367,26,6824.379006470911,511.3425825307036,23,4048.5111217418535,714.5080814892625,19,4048.5111217418535,714.5080814892625,19,68.56515398517055,28.434317850554926,0.0,0.0,13.34600176010403,5.666151617632464,5.666151617632464
29,207,268,1196.2876476859276,101.83354911855409,5,1060.0891550068804,161.12065232315985,5,1196.2876476859276,101.83354911855409,5,12.847833791693036,36.796712494493605,12.847833791693036,36.796712494493605,11.747480648967814,6.579474075617933,11.747480648967814
30,168,331,4042.7675061251575,268.45906304236246,14,2334.6489861289315,417.27216534883,14,2461.5054862156344,321.1470201694712,12,73.16382591750752,35.66331873156773,5.433643380242911,23.03655818954528,15.059158220660311,5.595026891326955,7.6647308915296275
31,314,363,4062.8933843060468,308.08177995077887,15,2563.2022206770357,682.9578721353425,17,3392.4040310009914,388.70704127074686,15,58.50849970131844,54.890075578523245,32.350229866176264,43.08477035993278,13.187710694722552,3.753089795513892,8.727405657254543
32,172,145,2305.5064657178336,203.45404384665517,9,1804.8234544960421,232.880323109884,9,1804.8234544960421,232.880323109884,9,27.741384342857867,12.635794587653551,0.0,0.0,11.331829154772224,7.750004081042265,7.750004081042265
33,253,18,4401.764022267819,360.7536080892918,18,2943.101259423639,676.1199581087575,18,3851.832715424889,425.538516020477,18,49.56209910119901,46.643549896324366,30.876662944964767,37.061683963479915,12.201580035696603,4.352927648602595,9.051666465931696
34,170,246,2758.135332180561,185.3537474341917,9,1571.2015316828251,467.5573211882616,11,1765.2190956987156,219.24266148025094,9,75.54306539062993,60.35700030038475,12.348356344083323,53.10892343144958,14.880386128474765,3.3604468596272543,8.051439823712064
35,81,321,5002.632140306565,369.7762501467351,17,3190.65813363243,550.2504697247952,15,3408.1763289609744,404.0229673313255,17,56.789976574872945,32.798558021826544,6.817345707949893,26.574716504395635,13.528808673681487,5.798555947127533,8.43560045972843
36,298,252,1760.260933402029,184.36597609797843,9,1526.2498884918027,224.32117893094517,9,1623.8038955383463,202.1451917279336,9,15.332420115127372,17.81160522755032,6.391745400416947,9.885819657642852,9.547645236160959,6.803859964384558,8.032859360433452
37,144,224,2056.3390217192996,128.65640609862936,7,853.789038109829,221.24888371251183,7,1050.7261760114575,145.63786874361614,7,140.84860895751837,41.849918544310505,23.066252799124722,34.17464246605815,15.983184079795361,3.8589529754158325,7.214649493815219
38,193,235,982.093716995535,77.13107064971003,5,982.093716995535,77.13107064971003,5,982.093716995535,77.13107064971003,5,0.0,0.0,0.0,0.0,12.732789895471614,12.732789895471614,12.732789895471614
39,70,257,4751.920358630378,329.58117386666777,17,3551.931395594173,751.6535013310838,17,3694.0719799505905,389.03628963438507,17,33.78412557530462,56.15251265602822,4.001782932314773,48.24260261603908,14.41805763017511,4.725490387930275,9.495443171695541
40,239,176,1630.7039878336918,130.8758079979434,7,1314.0913461962373,166.37847488004903,7,1314.0913461962373,166.37847488004903,7,24.093655479424626,21.338497607759265,0.0,0.0,12.459934443035621,7.8982052644949094,7.8982052644949094
41,169,321,5291.025159141907,341.28842684428315,17,3213.902577053021,439.41160843990644,17,3245.587141423897,378.6523869469231,17,64.62929514165603,22.330584743539504,0.9858595153786142,13.827404721669456,15.503089888119762,7.314104851402786,8.571416035676123
42,127,398,6597.964438199816,569.0539188741144,25,4357.105399798235,869.0666019756333,25,5025.319053933437,707.5940577428729,25,51.429993832725465,34.52125331010368,15.336182920113545,18.579996500347356,11.594620859924895,5.013546015798222,7.101980293564801
43,81,205,3520.8079046354947,234.0533648862585,11,2386.61308683662,494.08702148059166,13,2533.9615915920876,276.5595444433691,11,47.523196116477095,52.629121043315564,6.173958634860814,44.026146727225324,15.042757049643274,4.830349681488991,9.162444914682615
44,336,189,4183.498256200374,311.5818836593163,15,2762.003779465155,427.73414599493606,15,2922.464304454584,394.78765746074896,15,51.466058348786305,27.15524664635843,5.8095693489782825,7.702562173882923,13.426641520578944,6.457290831996971,7.4026232817198565
45,178,98,1368.0160426878595,160.6205543869964,7,1062.181382135294,170.72639080755727,5,1062.181382135294,170.72639080755727,5,28.7930729813536,5.919317085518531,0.0,0.0,8.517067120760803,6.2215418314124875,6.2215418314124875
46,291,145,3583.771652622252,295.2426447640723,14,2033.6201575133541,436.4645974140237,14,2180.8951900104917,389.5832061055245,14,76.226206225472,32.35587799942235,7.242012819012414,10.741167001003799,12.138394355212593,4.659301509359975,5.598021567232966
47,132,45,4256.636622298131,236.9143765076321,14,2640.1169441664233,399.03325056266215,12,2640.455419582702,327.26814438125274,12,61.229093722668395,40.62791103910067,0.012820470586591333,17.98474339675104,17.966983198932233,6.616283080278877,8.068171207359216
48,158,68,4434.2074482891385,334.5359326596265,17,2772.970955242126,559.062679083684,17,3033.452833714109,416.99041224016196,17,59.90818222984089,40.161283309424576,9.393602842451658,25.41258291044961,13.254801698090596,4.960035893984349,7.2746344872001965
49,322,64,3081.458805206538,310.3242115455552,16,2610.5800961955106,320.41350776364783,16,2610.5800961955106,320.41350776364783,16,18.03732088884211,3.1488361051042064,0.0,0.0,9.929804670603936,8.147534460754377,8.147534460754377
50,83,236,5195.169936661502,434.99021346318443,21,3377.4274157190703,808.9452881914992,21,3430.558870868726,637.0905189588339,21,53.82032823214429,46.227486603493205,1.5731338859385608,21.244300664247483,11.943188089911354,4.175099929526435,5.384727552491476
51,68,107,1155.3098817843963,85.84945093592496,4,979.960122081278,197.03473005761143,4,1155.3098817843963,85.84945093592496,4,17.89356074313551,56.42927979710824,17.89356074313551,56.42927979710824,13.457393951729282,4.973540054561677,13.457393951729282
52,230,45,4601.312453901936,329.9552784136535,15,3109.8983760603314,452.67556594751625,15,3302.4429028772674,394.4953817005884,15,47.957003653957074,27.10998710014118,6.19134465290324,12.852512621296054,13.94526093361486,6.870038080254804,8.371309414678358
53,165,137,3743.6095646150247,336.9595146838222,15,3385.399095636343,378.39872311252304,15,3411.144880882509,356.69639517262124,15,10.581041078447791,10.951201972311685,0.7604948344007981,5.735306863984387,11.109968413053272,8.946645136087415,9.563160511425142
54,133,24,4076.0175694228597,263.79916603838836,15,2594.8456548003433,404.6702321198082,15,2706.767467838248,330.1664080506154,15,57.081310862648714,34.81132411037168,4.313235850111347,18.410996944083323,15.451214765514887,6.41224742726345,8.198191584115648
55,330,295,2810.612714081413,177.0577459993105,10,1367.9518357391457,242.9354708193355,10,1467.6095827813685,206.06032332289297,8,105.46137960791242,27.117375901445236,7.28517952449508,15.178988631044982,15.873989009734474,5.630926727684218,7.122232747745667
56,397,218,3637.473440229319,287.5477875202305,13,2281.0379162356585,484.8684057665235,13,2602.14214865486,404.1244443840612,11,59.46571577521838,40.69570545318391,14.077110693061702,16.65275782504637,12.649978883852144,4.704447411106503,6.43896251468002
57,323,343,94.63014481424716,34.00212906097479,2,94.63014481424716,34.00212906097479,2,94.63014481424716,34.00212906097479,2,0.0,0.0,0.0,0.0,2.7830652793697226,2.7830652793697226,2.7830652793697226
58,291,193,1559.1899889962624,176.93755307478673,8,1559.1899889962624,176.93755307478673,8,1559.1899889962624,176.93755307478673,8,0.0,0.0,0.0,0.0,8.812091960700027,8.812091960700027,8.812091960700027
59,365,350,1822.7792563907408,176.3442033016391,7,1026.1294146839969,325.19400920326774,9,1398.5098754788696,185.02809284282088,9,77.63639072290675,45.77261625031587,36.2898144684362,43.10224431989271,10.336485250228796,3.1554376330549134,7.55836507846885
60,179,300,5980.666669209571,551.0044452194924,27,4496.833332514797,833.0767740593147,27,5209.231909069973,611.7176562777818,27,32.9972944731078,33.8591037012561,15.842227716204377,26.57127466210843,10.854116915204152,5.397861844837153,8.515745549617508
61,299,233,1848.364552572636,203.6525408484917,10,1483.7530815713071,285.97366665781635,10,1552.825841680566,229.10564145177605,10,24.5735948608917,28.786260906961946,4.655273236980262,19.885755870692144,9.076069195462363,5.188425559989415,6.7777721746210995
62,129,341,5440.37835070492,390.9075872661143,20,3128.5457270650227,552.0182957812624,20,3305.0717774299997,471.8318125833604,20,73.8948005023629,29.185755208915808,5.642431524585101,14.526055351918258,13.9173004769573,5.667467457101659,7.004766718323131
63,84,154,3819.949544838529,311.0265132779295,14,2653.7657199079217,390.19435717786956,14,2811.0294145120615,353.7397142759929,14,43.944490509549226,20.28933592800562,5.926057956977318,9.342688388817177,12.281748924166696,6.80113812793609,7.946603960670514
64,253,83,5611.383581478911,400.01402293388446,19,3070.9357488900387,700.1798311200542,19,3171.610481819704,608.649669046814,19,82.72552864406536,42.869816416448984,3.278308019503611,13.07237912392057,14.027967170556861,4.385924318867577,5.210896584872309
65,218,181,6237.42159116322,447.16692185744444,21,3846.371771724546,735.2647185316034,21,4016.3449755343213,582.1607448993502,21,62.163773065717756,39.18286698830305,4.419052912650897,20.822972974688224,13.94875445002547,5.231274770542686,6.899030913238073
66,73,23,4225.868831025335,284.814585619374,15,2447.945845707572,420.1277997633247,13,2605.9761122490145,388.05117836053955,13,72.62917962157202,32.207631634987784,6.455627554773957,7.634967602918732,14.837262711934223,5.826669520766303,6.715547478193183
67,155,3,5539.087482496396,330.6278893118018,20,3649.960860487509,600.6362126320071,20,3934.5255881757867,422.9495916558735,20,51.757448756767346,44.953720345468376,7.796377511025414,29.583068293119574,16.7532372844467,6.07682451328278,9.302587508766418
68,60,74,5611.120532363156,391.97132935316245,19,3575.2926201781765,559.187577511341,19,3669.2717190930557,504.9007980507119,19,56.94157453561165,29.903426843345287,2.628570830384106,9.708151905346668,14.315129990815194,6.393726835080962,7.2673121794600855
69,307,55,7082.9407155836125,397.7293935531395,22,4252.197625190302,913.8709802049783,22,5108.2890642612265,517.074242090229,22,66.57129653673198,56.478605605363455,20.132917482465594,43.419338912124026,17.808441695263543,4.652951803149004,9.879217815243319
70,143,82,1021.4195113034843,74.7647975333207,5,942.0295468787153,155.5324437745797,5,1021.4195113034843,74.7647975333207,5,8.427545047585468,51.929773802255205,8.427545047585468,51.929773802255205,13.66177057923904,6.056804124058142,13.66177057923904
71,189,332,3888.327021481889,212.72391496729503,13,2006.5032817211356,299.6400245645739,11,2006.5032817211356,299.6400245645739,11,93.7862278573781,29.0068423681323,0.0,0.0,18.278748875412973,6.696379379346648,6.696379379346648
72,266,34,5990.524182076782,415.59682346793716,21,3720.274877498001,793.895682068144,21,4131.517362940005,518.869863829767,21,61.02369796141499,47.6509530338692,11.05408871611598,34.64256380912904,14.414268453952571,4.686100405290618,7.962530975388253
